anime_id,title,score,genre
8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,6.17,"Adventure, Comedy, Fantasy, Horror, Supernatural"
5117,Kokudo Oh,6.08,"Fantasy, Hentai"
26443,Triage X,6.41,"Action, Adventure, Ecchi, Shounen"
16251,Shinkai no Kantai: Submarine 707,5.73,"Action, Adventure, Military, Sci-Fi"
6777,Densha Kamo Shirenai,5.62,Music
35594,Ylion to Callysia,5.86,"Action, Fantasy"
36847,Nanatsu no Bitoku,5.2,"Ecchi, Fantasy"
32561,Hai to Gensou no Grimgar Special,6.65,Comedy
24275,Medamayaki no Kimi Itsu Tsubusu?,5.92,"Comedy, Seinen"
29363,Watashi no Ashinaga Ojisan Specials,6.41,"Comedy, Romance, School, Shoujo, Slice of Life"
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,5.96,"Adventure, Kids"
1811,Bounty Dog: Getsumen no Ibu,5.63,"Action, Sci-Fi, Space"
9690,Densetsu no Yuusha no Densetsu: Iris Report,6.6,"Action, Adventure, Fantasy, Magic, Shounen"
9721,Aisai Nikki,6.54,Hentai
812,Chikyuu Shoujo Arjuna,6.95,"Adventure, Drama, Magic, Sci-Fi"
19849,Peeping Life 5.0ch,5.51,"Comedy, Slice of Life"
7791,K-On!!,8.14,"Comedy, Music, School, Slice of Life"
747,Haru wo Daite Ita,6.93,"Drama, Romance, Yaoi"
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,7.13,"Adventure, Comedy, Fantasy, Kids"
8726,Soredemo Machi wa Mawatteiru,7.47,"Comedy, Slice of Life"
33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,6.24,"Action, School"
10869,Scan2Go,6.23,"Cars, Kids, Shounen, Space, Sports"
15813,Majokko Shimai no Yoyo to Nene,7.57,"Fantasy, Magic"
36951,YuuŠ…æYuuŠ…æHakusho Special,0,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen"
33462,Bernard-jou Iwaku.,6.03,"Comedy, School"
